,measurement,timestamp_pulse_id,imageid,separation_um,balance,snr_db,pixis_profile_avg_width,crop_px,xi_um_guess,sigma_x_F_gamma_um_multiplier,xatol,sigma_F_gamma_um_opt_v2,xi_x_um_v2,xi_y_um_v2,chi2distance_deconvmethod_2d_v2
52,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038939,18,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,469.9416160938322,602.418295699736,246.7214668643535
53,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039419,30,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,442.9968382073314,435.51788420264495,219.91902803846355
54,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039319,25,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,484.8767129949583,300.3978865769381,143.71397579718936
55,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039839,38,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,410.695531276607,281.2663271425249,96.34509598410638
56,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040219,44,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,437.73912176129033,347.69833176407803,87.92996594828111
57,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038959,19,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,445.2290098736514,483.15729323763344,403.06986029076825
58,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039919,42,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,445.3915779643392,483.15729323763344,83.53065590863861
59,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039339,26,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,455.7427926913741,483.1572932376318,88.54251581518804
60,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040279,47,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,468.5645576263136,602.4182956993594,72.28412436709372
61,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039439,31,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,489.18189548338177,435.51788420264495,207.77855581425405
62,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038819,12,445.0,1.0,,200.0,50.0,400.0,1.2,5.0,,525.8074235877089,602.4182956994633,350.72342083499706
