,measurement,timestamp_pulse_id,imageid,separation_um,balance,xi_um_guess,crop_px,snr_db,sigma_x_F_gamma_um_multiplier,pixis_profile_avg_width,sigma_F_gamma_um_opt_v3,xi_x_um_v3,xi_y_um_v3,chi2distance_deconvmethod_2d_v3,chi2distance_deconvmethod_1d_v3,xi_um_v3
55,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039839,38,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,87.31073785108791,413.0639347354541
56,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040219,44,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,70.21583203619264,445.188645479032
57,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038959,19,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,131.8674094800195,445.2123745822614
58,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039919,42,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,30.69661203466008,454.3298423318566
59,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039339,26,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,36.68242791818448,466.5669790923717
60,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040279,47,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,31.29808086382706,482.9884985277324
61,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039439,31,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,24.749360350318515,503.63537465418887
62,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038819,12,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,95.55819448029652,544.1881494183762
63,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038399,3,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,81.5551569478112,433.1574897994248
64,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039399,29,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,110.14082230412792,478.92384557041225
65,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039299,24,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,71.65975740308117,495.223526254304
66,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038439,5,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,17.535446868263474,493.52540097679815
67,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038479,7,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,126.80782629729968,406.9035988292739
68,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040239,45,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,22.412665548026,466.56332772033846
69,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038379,2,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,55.85965006562339,475.5923565208888
70,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039799,36,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,206.76336255634712,492.8418017741436
71,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039279,23,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,17.690578072590043,514.4361034371001
72,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548040299,48,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,86.60372953453023,501.8985997002287
73,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038859,14,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,89.75216419962459,457.4471410348335
74,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548038919,17,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,24.00096692418234,497.375740875272
75,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039779,35,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,61.818379854032365,477.549032337829
76,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0445um (5a) ap5=7.0 ap7=50.0 (bg5ab) ap5=7.0 ap7=50.0,1548039459,32,445.0,,400.0,50.0,26.8,1.2,200.0,,,,,41.74755259394505,527.5821363530176
